Month Name,Month,Year,Query Count,Query Text,Month Num,Volume,,,,,,,,,,,
January,1,2020,17,"<h1><a href=""//sklepbonito.pl"" title=""//sklepbonito.pl"">lumpeks online</a>",1,Low,15102,,,,,,"35001 Rows, 5 Columns",,,,
January,1,2020,22,"<h1><a href=""//sklepbonito.pl"" title=""//sklepbonito.pl"">second hand</a></h1>",1,Low,10472,,,,,,Max Queries:,5610,,,
January,1,2020,10,720 form,1,Low,24413,,,,,,Year is number:,TRUE,,,
January,1,2020,10,Accident,1,Low,24413,,,,,,Query Count is number:,TRUE,,,
January,1,2020,115,Accident report,1,High,713,,,,,,,Count,SUM,Average,Max
January,1,2020,71,accident reports,1,Medium,1716,,,,,,Map searches:,124,11279,90.95967742,351
January,1,2020,14,accidents,1,Low,18917,,,,,,all query counts over 100:,938,,,
January,1,2020,11,accounts payable,1,Low,22840,,,,,,query for codes over 100 times:,40,,,
January,1,2020,11,Active dispatch,1,Low,22840,,,,,,Month Name,Month Num,,,
January,1,2020,11,Active incident,1,Low,22840,,,,,,January,1,,,
January,1,2020,10,Air bnb,1,Low,24413,,,,,,February,2,,,
January,1,2020,13,AIRBNB,1,Low,20168,,,,,,March,3,,,
January,1,2020,18,airport authority,1,Low,13846,,,,,,April,4,,,
January,1,2020,39,animal control,1,Low,4519,,,,,,May,5,,,
January,1,2020,24,ANIMAL SHELTER,1,Low,9261,,,,,,June,6,,,
January,1,2020,23,annual enrollment,1,Low,9894,,,,,,July,7,,,
January,1,2020,13,Anthony Cochran,1,Low,20168,,,,,,August,8,,,
January,1,2020,30,application,1,Low,6674,,,,,,September,9,,,
January,1,2020,15,Archives,1,Low,17757,,,,,,October,10,,,
January,1,2020,11,Arrest,1,Low,22840,,,,,,November,11,,,
January,1,2020,11,arrest record,1,Low,22840,,,,,,December,12,,,
January,1,2020,28,arrest records,1,Low,7373,,,,,,,,,,
January,1,2020,10,arrest warrants,1,Low,24413,,,,,,,,,,
